"Tabela 1736 - INPC - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de abril/1979)"
"Brasil"
"Variável - INPC - Variação mensal (%)"
"setembro 1996","0.02"
"outubro 1996","0.38"
"novembro 1996","0.34"
"dezembro 1996","0.33"
"janeiro 1997","0.81"
"fevereiro 1997","0.45"
"março 1997","0.68"
"abril 1997","0.60"
"maio 1997","0.11"
"junho 1997","0.35"
"julho 1997","0.18"
"agosto 1997","-0.03"
"setembro 1997","0.10"
"outubro 1997","0.29"
"novembro 1997","0.15"
"dezembro 1997","0.57"
"janeiro 1998","0.85"
"fevereiro 1998","0.54"
"março 1998","0.49"
"abril 1998","0.45"
"maio 1998","0.72"
"junho 1998","0.15"
"julho 1998","-0.28"
"agosto 1998","-0.49"
"setembro 1998","-0.31"
"outubro 1998","0.11"
"novembro 1998","-0.18"
"dezembro 1998","0.42"
"janeiro 1999","0.65"
"fevereiro 1999","1.29"
"março 1999","1.28"
"abril 1999","0.47"
"maio 1999","0.05"
"junho 1999","0.07"
"julho 1999","0.74"
"agosto 1999","0.55"
"setembro 1999","0.39"
"outubro 1999","0.96"
"novembro 1999","0.94"
"dezembro 1999","0.74"
"janeiro 2000","0.61"
"fevereiro 2000","0.05"
"março 2000","0.13"
"abril 2000","0.09"
"maio 2000","-0.05"
"junho 2000","0.30"
"julho 2000","1.39"
"agosto 2000","1.21"
"setembro 2000","0.43"
"outubro 2000","0.16"
"novembro 2000","0.29"
"dezembro 2000","0.55"
"janeiro 2001","0.77"
"fevereiro 2001","0.49"
"março 2001","0.48"
"abril 2001","0.84"
"maio 2001","0.57"
"junho 2001","0.60"
"julho 2001","1.11"
"agosto 2001","0.79"
"setembro 2001","0.44"
"outubro 2001","0.94"
"novembro 2001","1.29"
"dezembro 2001","0.74"
"janeiro 2002","1.07"
"fevereiro 2002","0.31"
"março 2002","0.62"
"abril 2002","0.68"
"maio 2002","0.09"
"junho 2002","0.61"
"julho 2002","1.15"
"agosto 2002","0.86"
"setembro 2002","0.83"
"outubro 2002","1.57"
"novembro 2002","3.39"
"dezembro 2002","2.70"
"janeiro 2003","2.47"
"fevereiro 2003","1.46"
"março 2003","1.37"
"abril 2003","1.38"
"maio 2003","0.99"
"junho 2003","-0.06"
"julho 2003","0.04"
"agosto 2003","0.18"
"setembro 2003","0.82"
"outubro 2003","0.39"
"novembro 2003","0.37"
"dezembro 2003","0.54"
"janeiro 2004","0.83"
"fevereiro 2004","0.39"
"março 2004","0.57"
"abril 2004","0.41"
"maio 2004","0.40"
"junho 2004","0.50"
"julho 2004","0.73"
"agosto 2004","0.50"
"setembro 2004","0.17"
"outubro 2004","0.17"
"novembro 2004","0.44"
"dezembro 2004","0.86"
"janeiro 2005","0.57"
"fevereiro 2005","0.44"
"março 2005","0.73"
"abril 2005","0.91"
"maio 2005","0.70"
"junho 2005","-0.11"
"julho 2005","0.03"
"agosto 2005","0.00"
"setembro 2005","0.15"
"outubro 2005","0.58"
"novembro 2005","0.54"
"dezembro 2005","0.40"
"janeiro 2006","0.38"
"fevereiro 2006","0.23"
"março 2006","0.27"
"abril 2006","0.12"
"maio 2006","0.13"
"junho 2006","-0.07"
"julho 2006","0.11"
"agosto 2006","-0.02"
"setembro 2006","0.16"
"outubro 2006","0.43"
"novembro 2006","0.42"
"dezembro 2006","0.62"
"janeiro 2007","0.49"
"fevereiro 2007","0.42"
"março 2007","0.44"
"abril 2007","0.26"
"maio 2007","0.26"
"junho 2007","0.31"
"julho 2007","0.32"
"agosto 2007","0.59"
"setembro 2007","0.25"
"outubro 2007","0.30"
"novembro 2007","0.43"
"dezembro 2007","0.97"
"janeiro 2008","0.69"
"fevereiro 2008","0.48"
"março 2008","0.51"
"abril 2008","0.64"
"maio 2008","0.96"
"junho 2008","0.91"
"julho 2008","0.58"
"agosto 2008","0.21"
"setembro 2008","0.15"
"outubro 2008","0.50"
"novembro 2008","0.38"
"dezembro 2008","0.29"
"janeiro 2009","0.64"
"fevereiro 2009","0.31"
"março 2009","0.20"
"abril 2009","0.55"
"maio 2009","0.60"
"junho 2009","0.42"
"julho 2009","0.23"
"agosto 2009","0.08"
"setembro 2009","0.16"
"outubro 2009","0.24"
"novembro 2009","0.37"
"dezembro 2009","0.24"
"janeiro 2010","0.88"
"fevereiro 2010","0.70"
"março 2010","0.71"
"abril 2010","0.73"
"maio 2010","0.43"
"junho 2010","-0.11"
"julho 2010","-0.07"
"agosto 2010","-0.07"
"setembro 2010","0.54"
"outubro 2010","0.92"
"novembro 2010","1.03"
"dezembro 2010","0.60"
"janeiro 2011","0.94"
"fevereiro 2011","0.54"
"março 2011","0.66"
"abril 2011","0.72"
"maio 2011","0.57"
"junho 2011","0.22"
"julho 2011","0.00"
"agosto 2011","0.42"
"setembro 2011","0.45"
"outubro 2011","0.32"
"novembro 2011","0.57"
"dezembro 2011","0.51"
"janeiro 2012","0.51"
"fevereiro 2012","0.39"
"março 2012","0.18"
"abril 2012","0.64"
"maio 2012","0.55"
"junho 2012","0.26"
"julho 2012","0.43"
"agosto 2012","0.45"
"setembro 2012","0.63"
"outubro 2012","0.71"
"novembro 2012","0.54"
"dezembro 2012","0.74"
"janeiro 2013","0.92"
"fevereiro 2013","0.52"
"março 2013","0.60"
"abril 2013","0.59"
"maio 2013","0.35"
"junho 2013","0.28"
"julho 2013","-0.13"
"agosto 2013","0.16"
"setembro 2013","0.27"
"outubro 2013","0.61"
"novembro 2013","0.54"
"dezembro 2013","0.72"
"janeiro 2014","0.63"
"fevereiro 2014","0.64"
"março 2014","0.82"
"abril 2014","0.78"
"maio 2014","0.60"
"junho 2014","0.26"
"julho 2014","0.13"
"agosto 2014","0.18"
"setembro 2014","0.49"
"outubro 2014","0.38"
"novembro 2014","0.53"
"dezembro 2014","0.62"
"janeiro 2015","1.48"
"fevereiro 2015","1.16"
"março 2015","1.51"
"abril 2015","0.71"
"maio 2015","0.99"
"junho 2015","0.77"
"julho 2015","0.58"
"agosto 2015","0.25"
"setembro 2015","0.51"
"outubro 2015","0.77"
"novembro 2015","1.11"
"dezembro 2015","0.90"
"janeiro 2016","1.51"
"fevereiro 2016","0.95"
"março 2016","0.44"
"abril 2016","0.64"
"maio 2016","0.98"
"junho 2016","0.47"
"julho 2016","0.64"
"agosto 2016","0.31"
"setembro 2016","0.08"
"outubro 2016","0.17"
"novembro 2016","0.07"
"dezembro 2016","0.14"
"janeiro 2017","0.42"
"fevereiro 2017","0.24"
"março 2017","0.32"
"abril 2017","0.08"
"maio 2017","0.36"
"junho 2017","-0.30"
"julho 2017","0.17"
"agosto 2017","-0.03"
"setembro 2017","-0.02"
"outubro 2017","0.37"
"novembro 2017","0.18"
"dezembro 2017","0.26"
"janeiro 2018","0.23"
"fevereiro 2018","0.18"
"março 2018","0.07"
"abril 2018","0.21"
"maio 2018","0.43"
"junho 2018","1.43"
"julho 2018","0.25"
"agosto 2018","0.00"
"setembro 2018","0.30"
"outubro 2018","0.40"
"novembro 2018","-0.25"
"dezembro 2018","0.14"
"janeiro 2019","0.36"
"fevereiro 2019","0.54"
"março 2019","0.77"
"abril 2019","0.60"
"maio 2019","0.15"
"junho 2019","0.01"
"julho 2019","0.10"
"agosto 2019","0.12"
"setembro 2019","-0.05"
"outubro 2019","0.04"
"novembro 2019","0.54"
"dezembro 2019","1.22"
"janeiro 2020","0.19"
"fevereiro 2020","0.17"
"março 2020","0.18"
"abril 2020","-0.23"
"maio 2020","-0.25"
"junho 2020","0.30"
"julho 2020","0.44"
"agosto 2020","0.36"
"setembro 2020","0.87"
"outubro 2020","0.89"
"novembro 2020","0.95"
"dezembro 2020","1.46"
"janeiro 2021","0.27"
"fevereiro 2021","0.82"
"março 2021","0.86"
"abril 2021","0.38"
"maio 2021","0.96"
"junho 2021","0.60"
"julho 2021","1.02"
"agosto 2021","0.88"
"setembro 2021","1.20"
"outubro 2021","1.16"
"novembro 2021","0.84"
"dezembro 2021","0.73"
"janeiro 2022","0.67"
"fevereiro 2022","1.00"
"março 2022","1.71"
"abril 2022","1.04"
"maio 2022","0.45"
"junho 2022","0.62"
"julho 2022","-0.60"
"agosto 2022","-0.31"
"Fonte: IBGE - Índice Nacional de Preços ao Consumidor"

"Notas"
"1 - Período de coleta ajustado ao mês civil (do primeiro ao trigésimo dia de cada mês), para os meses anteriores a março de 1986."
""
"Legenda"
"Símbolo","Significado"
"-","Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0","Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X","Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..","Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...","Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
